---- Log file ----
Sub Steps: 10
9.78729 1688.5032 0.049530357
9.799792 1688.0269 0.048176378
9.812295 1687.6064 0.052047342
9.824798 1687.3076 0.047758505
9.8373 1686.9413 0.04670769
9.849803 1686.5775 0.050217852
9.862306 1686.2307 0.051738292
9.874808 1685.9152 0.05117403
9.887311 1685.6161 0.050110027
9.899814 1685.3247 0.050036326
9.912316 1685.035 0.051508233
9.924819 1684.7343 0.05361186
9.937322 1684.4608 0.05426465
9.949824 1684.2113 0.053709477
9.962327 1683.9766 0.05347255
9.97483 1683.7496 0.054316774
9.987332 1683.5297 0.05588381
9.999835 1683.3131 0.05746551
10.012338 1683.1396 0.05741732
10.02484 1682.9967 0.05673434
10.037343 1682.869 0.05621311
10.049846 1682.7477 0.056247115
10.062348 1682.6293 0.05682738
10.074851 1682.505 0.057680994
10.087354 1682.3967 0.058359995
10.099856 1682.3002 0.058601752
10.112359 1682.217 0.05893676
10.124862 1682.15 0.059089556
10.137364 1682.0977 0.05922562
10.149867 1682.0555 0.05902855
10.16237 1682.0188 0.058709756
10.174872 1681.9832 0.058540687
10.187375 1681.9458 0.058698818
10.199878 1681.908 0.059057966
10.21238 1681.87 0.059543565
10.224883 1681.8364 0.059938073
10.237386 1681.8104 0.060200244
10.249888 1681.7947 0.060305163
10.262391 1681.7859 0.060277775
10.274894 1681.7827 0.06010528
10.287396 1681.7817 0.059865147
10.299899 1681.7793 0.059747115
10.312402 1681.7733 0.05966106
10.324904 1681.764 0.05975394
10.337407 1681.751 0.059820995
10.34991 1681.7373 0.060018018
10.362412 1681.7253 0.060239673
10.374915 1681.7166 0.06032215
10.387418 1681.714 0.060240746
10.39992 1681.7177 0.060022786
10.412423 1681.7261 0.05970025
10.424926 1681.7384 0.059409916
10.437428 1681.7524 0.05921495
10.449931 1681.7668 0.059074834
10.462434 1681.7821 0.05894278
10.4749365 1681.7998 0.05887586
10.487439 1681.8217 0.058733344
10.499942 1681.847 0.058455124
10.5124445 1681.8739 0.058179677
10.524947 1681.901 0.05792302
10.53745 1681.9279 0.057587415
10.5499525 1681.9521 0.05726333
10.562455 1681.9749 0.056955993
10.574958 1681.9952 0.05673875
10.5874605 1682.0116 0.05662933
10.599963 1682.0249 0.056552082
10.612466 1682.035 0.056456506
10.624969 1682.0419 0.05636376
10.637471 1682.046 0.056292698
10.649974 1682.0466 0.05631715
10.662477 1682.046 0.056300938
10.674979 1682.0442 0.056196705
10.687482 1682.0394 0.056118235
10.699985 1682.0305 0.056150362
10.712487 1682.0182 0.056260675
10.72499 1682.0043 0.056413576
10.737493 1681.9907 0.05659212
10.749995 1681.9772 0.056737795
10.762498 1681.9662 0.056804717
10.775001 1681.9581 0.05681275
10.787503 1681.9525 0.056861877
10.800006 1681.95 0.056877673
10.812509 1681.9493 0.05683866
10.825011 1681.9512 0.056773618
10.837514 1681.9547 0.056719378
10.850017 1681.9594 0.056697592
10.862519 1681.9656 0.056686193
10.875022 1681.9714 0.056720138
10.887525 1681.9779 0.05666557
10.900027 1681.984 0.056535676
10.91253 1681.9878 0.05645226
10.925033 1681.9882 0.056447864
10.937535 1681.985 0.05650392
10.950038 1681.9792 0.056570098
10.962541 1681.9712 0.056627706
10.975043 1681.9609 0.056704804
10.987546 1681.9493 0.05680342
11.000049 1681.9369 0.05690424
11.012551 1681.9238 0.056983754
11.025054 1681.9102 0.05706565
11.037557 1681.8955 0.057197064
11.050059 1681.8804 0.057345316
11.062562 1681.8658 0.057408288
11.075065 1681.8522 0.05746737
11.087567 1681.8396 0.05756341
11.10007 1681.8284 0.05771002
11.112573 1681.8188 0.05786632
11.125075 1681.8108 0.05793558
11.137578 1681.8052 0.05796881
11.150081 1681.8009 0.058004364
11.162583 1681.7977 0.058029696
11.175086 1681.7965 0.058035627
11.187589 1681.7964 0.057980865
11.200091 1681.7963 0.057912514
11.212594 1681.7963 0.057955727
11.225097 1681.7955 0.05799088
11.237599 1681.7954 0.058019653
11.250102 1681.797 0.058044747
11.262605 1681.7987 0.057984963
11.275107 1681.8003 0.0579198
11.28761 1681.8014 0.057926223
11.300113 1681.8019 0.05800052
11.312615 1681.8026 0.058031067
11.325118 1681.8037 0.058017924
11.337621 1681.806 0.05793573
11.350123 1681.8082 0.057851136
11.362626 1681.8092 0.057812646
11.375129 1681.8094 0.057851747
11.387631 1681.8087 0.057885334
11.400134 1681.8082 0.05788867
11.412637 1681.8082 0.057889268
11.425139 1681.8088 0.05785349
11.437642 1681.8086 0.05780074
11.450145 1681.8092 0.057815716
11.462647 1681.8103 0.057852298
11.47515 1681.8115 0.057834193
11.487653 1681.8134 0.057808176
11.500155 1681.8152 0.057757556
11.512658 1681.8168 0.05773291
11.525161 1681.8185 0.05772376
11.537663 1681.8197 0.057721436
11.550166 1681.821 0.057726026
11.562669 1681.8229 0.057691395
11.575171 1681.8245 0.0576358
11.587674 1681.8264 0.057591528
11.600177 1681.829 0.057578206
11.6126795 1681.8309 0.05759175
11.625182 1681.8323 0.057614774
11.637685 1681.833 0.05759883
11.6501875 1681.8341 0.057561085
11.66269 1681.8357 0.057541534
11.675193 1681.8372 0.057521522
11.6876955 1681.8391 0.05751358
11.700198 1681.8422 0.057466596
11.712701 1681.8447 0.057419896
11.7252035 1681.8477 0.057410836
11.737706 1681.8497 0.057407692
11.750209 1681.8519 0.05739227
11.762712 1681.8541 0.057397768
11.775214 1681.8568 0.057363406
11.787717 1681.8584 0.057336777
11.80022 1681.8595 0.057317108
11.812722 1681.8602 0.057313517
11.825225 1681.86 0.05733064
11.837728 1681.859 0.05732912
11.85023 1681.8564 0.05733037
11.862733 1681.8535 0.057383507
11.875236 1681.8495 0.057420522
11.887738 1681.8457 0.05744134
11.900241 1681.8424 0.05744645
11.912744 1681.8411 0.05741857
11.925246 1681.8401 0.057368636
11.937749 1681.8407 0.057332665
11.950252 1681.8417 0.057285666
11.962754 1681.8435 0.057271495
11.975257 1681.8466 0.057263747
11.98776 1681.8508 0.05721496
12.000262 1681.8562 0.05713983
12.012765 1681.8606 0.05708541
12.025268 1681.8641 0.057030246
12.03777 1681.8658 0.05704342
12.050273 1681.866 0.05710931
12.062776 1681.8651 0.057120577
12.075278 1681.864 0.057099476
12.087781 1681.8617 0.0571004
12.100284 1681.8575 0.057140067
12.112786 1681.8534 0.05721304
12.125289 1681.8489 0.057294026
12.137792 1681.8457 0.05726707
12.150294 1681.8436 0.057205245
12.162797 1681.8419 0.057214677
12.1753 1681.8408 0.057227045
12.187802 1681.8398 0.05722761
12.200305 1681.8396 0.05722624
12.212808 1681.8408 0.057189733
12.22531 1681.8434 0.05714272
12.237813 1681.8467 0.0571253
12.250316 1681.8497 0.05711025
12.262818 1681.8524 0.057083428
12.275321 1681.8544 0.0570537
12.287824 1681.8557 0.057044357
12.300326 1681.8556 0.057048738
12.312829 1681.8553 0.05705914
12.325332 1681.8549 0.057060793
12.337834 1681.8544 0.05706036
12.350337 1681.8555 0.057033032
12.36284 1681.8567 0.057026833
12.375342 1681.8582 0.05702001
12.387845 1681.8597 0.057020232
12.400348 1681.8616 0.05700265
12.41285 1681.8634 0.0569721
12.425353 1681.8654 0.056959808
12.437856 1681.8677 0.05694367
12.450358 1681.8685 0.056890607
12.462861 1681.8684 0.056834713
12.475364 1681.8672 0.056795627
12.487866 1681.8652 0.05678156
12.500369 1681.8624 0.056817517
12.512872 1681.8591 0.056874067
12.525374 1681.8553 0.056880847
12.537877 1681.8522 0.05686915
12.55038 1681.8488 0.056869462
12.562882 1681.8455 0.05686918
12.575385 1681.8418 0.056900293
12.587888 1681.839 0.05693546
12.60039 1681.8367 0.056945503
12.612893 1681.8358 0.05692458
12.625396 1681.8354 0.05690536
12.637898 1681.8348 0.05689095
12.650401 1681.8337 0.056922227
12.662904 1681.8325 0.056945905
12.675406 1681.8313 0.05695805
12.687909 1681.8304 0.0569347
12.700412 1681.8296 0.056909293
12.712914 1681.8289 0.05688274
12.725417 1681.8281 0.056857437
12.73792 1681.8282 0.05684322
12.7504225 1681.8275 0.056853876
12.762925 1681.8271 0.056835562
12.775428 1681.827 0.056799054
12.7879305 1681.8276 0.056768134
12.800433 1681.828 0.056773618
12.812936 1681.8293 0.056797177
12.8254385 1681.8306 0.05679111
12.837941 1681.8325 0.056745425
12.850444 1681.8347 0.0567068
12.8629465 1681.8367 0.056670055
12.875449 1681.8387 0.056596443
12.887952 1681.8411 0.056539163
12.9004545 1681.8429 0.056476682
12.912957 1681.843 0.05643478
12.92546 1681.8414 0.056419104
12.937963 1681.8369 0.056461036
12.950465 1681.831 0.05651763
12.962968 1681.8243 0.056575894
12.975471 1681.8169 0.056681395
12.987973 1681.809 0.05681026
13.000476 1681.8016 0.056809813
13.012979 1681.7948 0.056748077
13.025481 1681.7886 0.056766167
13.037984 1681.7822 0.056840256
13.050487 1681.7766 0.05694495
13.062989 1681.7738 0.057000503
13.075492 1681.774 0.056928247
13.087995 1681.7756 0.056791157
13.100497 1681.7783 0.05668436
13.113 1681.7804 0.056684494
13.125503 1681.7825 0.056703895
13.138005 1681.7853 0.056742623
13.150508 1681.7891 0.056727037
13.163011 1681.7922 0.05665858
13.175513 1681.7949 0.0565733
13.188016 1681.7966 0.056525424
13.200519 1681.7969 0.056519
13.213021 1681.7948 0.05655697
13.225524 1681.7914 0.056562766
13.238027 1681.7861 0.0565684
13.250529 1681.7805 0.05658041
13.263032 1681.7738 0.05664012
13.275535 1681.7678 0.056689397
13.288037 1681.7634 0.056700483
13.30054 1681.7603 0.05665885
13.313043 1681.7573 0.05667062
13.325545 1681.7548 0.056656137
13.338048 1681.7538 0.056634158
13.350551 1681.7533 0.05660741
13.363053 1681.7529 0.056598365
13.375556 1681.7537 0.056600556
13.388059 1681.7544 0.056600258
13.400561 1681.7552 0.056584448
13.413064 1681.7562 0.056531444
13.425567 1681.7574 0.056458607
13.438069 1681.759 0.056404263
13.450572 1681.759 0.05638902
13.463075 1681.7572 0.056361347
13.475577 1681.7537 0.056328952
